Symbols,Attributes,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12
2317.TW,Close,105.0,103.0,103.0,102.0,102.0
2317.TW,High,105.0,105.0,103.5,103.5,103.0
2317.TW,Low,104.0,103.0,102.5,101.5,101.5
2317.TW,Open,104.5,104.5,103.0,103.0,102.0
2317.TW,Volume,31289599.0,34459124.0,24825800.0,28845321.0,17780652.0
2318.HK,Adj Close,58.45000076293945,57.29999923706055,59.0,55.75,55.45000076293945
2318.HK,Close,58.45000076293945,57.29999923706055,59.0,55.75,55.45000076293945
2318.HK,High,59.650001525878906,58.5,59.20000076293945,58.900001525878906,56.25
2318.HK,Low,57.75,56.79999923706055,57.29999923706055,55.34999847412109,54.59999847412109
2318.HK,Open,58.54999923706055,57.900001525878906,57.29999923706055,58.900001525878906,55.59999847412109
2318.HK,Volume,34879600.0,15741981.0,21789977.0,27848101.0,21404986.0
2330.TW,Adj Close,578.0,566.0,567.0,558.0,557.0
2330.TW,Close,578.0,566.0,567.0,558.0,557.0
2330.TW,High,580.0,573.0,570.0,566.0,564.0
2330.TW,Low,575.0,566.0,566.0,558.0,552.0
2330.TW,Open,578.0,571.0,567.0,563.0,554.0
2330.TW,Volume,37645873.0,42904743.0,28024587.0,36820094.0,32762056.0
2412.TW,Adj Close,127.0,127.0,128.0,130.0,128.5
2412.TW,Close,127.0,127.0,128.0,130.0,128.5
2412.TW,High,127.0,127.5,128.0,130.0,129.5
2412.TW,Low,126.0,126.5,126.5,128.0,128.0
2412.TW,Open,127.0,127.0,127.5,128.0,129.0
2412.TW,Volume,10134158.0,13560013.0,10348211.0,12424868.0,7169928.0
2454.TW,Adj Close,882.0,850.0,840.0,836.0,842.0
2454.TW,Close,882.0,850.0,840.0,836.0,842.0
2454.TW,High,883.0,872.0,859.0,847.0,848.0
2454.TW,Low,855.0,850.0,834.0,832.0,830.0
2454.TW,Open,858.0,858.0,851.0,839.0,840.0
2454.TW,Volume,13328503.0,12287176.0,12711666.0,6163957.0,7978095.0
2628.HK,Adj Close,12.239999771118164,12.079999923706056,12.260000228881836,12.0,12.0
2628.HK,Close,12.239999771118164,12.079999923706056,12.260000228881836,12.0,12.0
2628.HK,High,12.34000015258789,12.239999771118164,12.279999732971191,12.220000267028809,12.079999923706056
2628.HK,Low,12.119999885559082,12.020000457763672,12.039999961853027,11.920000076293944,11.880000114440918
2628.HK,Open,12.34000015258789,12.140000343322754,12.039999961853027,12.220000267028809,12.039999961853027
2628.HK,Volume,30798641.0,23076561.0,17914416.0,27699472.0,22528845.0
2882.TW,Adj Close,65.5,64.80000305175781,65.0,64.80000305175781,64.9000015258789
2882.TW,Close,65.5,64.80000305175781,65.0,64.80000305175781,64.9000015258789
2882.TW,High,65.5,65.69999694824219,65.0999984741211,65.69999694824219,65.0
2882.TW,Low,64.5,64.5,64.5,64.0999984741211,64.30000305175781
2882.TW,Open,65.0999984741211,65.30000305175781,65.0,65.30000305175781,64.80000305175781
2882.TW,Volume,24055603.0,26550601.0,12896831.0,14969524.0,13691057.0
2891.TW,Adj Close,30.149999618530277,30.350000381469727,30.5,30.450000762939453,30.700000762939453
2891.TW,Close,30.149999618530277,30.350000381469727,30.5,30.450000762939453,30.700000762939453
2891.TW,High,30.149999618530277,30.950000762939453,30.600000381469727,30.850000381469727,30.75
2891.TW,Low,29.700000762939453,30.0,30.100000381469727,30.299999237060547,30.350000381469727
2891.TW,Open,29.799999237060547,30.149999618530277,30.450000762939453,30.600000381469727,30.5
2891.TW,Volume,107167686.0,124740002.0,50957418.0,49881184.0,54279211.0
3008.TW,Adj Close,1775.0,1685.0,1660.0,1610.0,1640.0
3008.TW,Close,1775.0,1685.0,1660.0,1610.0,1640.0
3008.TW,High,1840.0,1760.0,1715.0,1665.0,1655.0
3008.TW,Low,1775.0,1685.0,1645.0,1595.0,1605.0
3008.TW,Open,1840.0,1745.0,1710.0,1655.0,1610.0
3008.TW,Volume,851405.0,1157857.0,671054.0,939309.0,728106.0
3690.HK,Adj Close,160.89999389648438,159.3000030517578,156.5,147.5,153.89999389648438
3690.HK,Close,160.89999389648438,159.3000030517578,156.5,147.5,153.89999389648438
3690.HK,High,165.39999389648438,172.5,158.10000610351562,151.60000610351562,159.1999969482422
3690.HK,Low,158.8000030517578,157.60000610351562,152.0,146.0,145.1999969482422
3690.HK,Open,160.0,158.1999969482422,154.10000610351562,150.10000610351562,147.0
3690.HK,Volume,29819804.0,36718605.0,22560050.0,28364129.0,36838492.0
3968.HK,Adj Close,62.04999923706055,61.29999923706055,61.59999847412109,58.75,58.70000076293945
3968.HK,Close,62.04999923706055,61.29999923706055,61.59999847412109,58.75,58.70000076293945
3968.HK,High,62.70000076293945,62.34999847412109,61.75,60.84999847412109,59.900001525878906
3968.HK,Low,61.59999847412109,60.75,60.54999923706055,58.45000076293945,58.25
3968.HK,Open,62.25,61.95000076293945,60.54999923706055,60.79999923706055,58.79999923706055
3968.HK,Volume,11943189.0,10676525.0,11256015.0,18004712.0,16894822.0
3988.HK,Adj Close,3.130000114440918,3.140000104904175,3.140000104904175,3.140000104904175,3.119999885559082
3988.HK,Close,3.130000114440918,3.140000104904175,3.140000104904175,3.140000104904175,3.119999885559082
3988.HK,High,3.1600000858306885,3.150000095367432,3.150000095367432,3.140000104904175,3.150000095367432
3988.HK,Low,3.119999885559082,3.109999895095825,3.119999885559082,3.119999885559082,3.119999885559082
3988.HK,Open,3.150000095367432,3.130000114440918,3.140000104904175,3.140000104904175,3.150000095367432
3988.HK,Volume,386335091.0,237078727.0,209910921.0,232439672.0,219548765.0
A,Adj Close,132.7100067138672,135.92999267578125,134.8699951171875,131.25999450683594,0.0
A,Close,132.7100067138672,135.92999267578125,134.8699951171875,131.25999450683594,0.0
A,High,133.32000732421875,137.0800018310547,136.99000549316406,133.8800048828125,0.0
A,Low,129.86000061035156,132.22999572753906,134.64999389648438,130.4600067138672,0.0
A,Open,132.00999450683594,132.89999389648438,135.7100067138672,133.22000122070312,0.0
A,Volume,2249500.0,1956200.0,2070900.0,2308200.0,0.0
AAL,Adj Close,17.3799991607666,16.950000762939453,16.59000015258789,16.969999313354492,0.0
AAL,Close,17.3799991607666,16.950000762939453,16.59000015258789,16.969999313354492,0.0
AAL,High,17.670000076293945,17.25,17.020000457763672,17.229999542236328,0.0
AAL,Low,16.829999923706055,16.3700008392334,16.56999969482422,16.40999984741211,0.0
AAL,Open,17.260000228881836,17.139999389648438,16.8700008392334,16.5,0.0
AAL,Volume,40217800.0,42285200.0,22568900.0,24843600.0,0.0
AAL.L,Adj Close,4050.0,3978.0,4170.5,4070.5,4084.5
AAL.L,Close,4050.0,3978.0,4170.5,4070.5,4084.5
AAL.L,High,4117.5,4050.0,4170.5,4154.0,4119.5
AAL.L,Low,4005.5,3903.0,4037.5,4043.0,4039.5
AAL.L,Open,4096.0,4046.5,4060.5,4114.5,4052.0
AAL.L,Volume,4203667.0,3871754.0,4098728.0,3851409.0,1990590.0
AAP,Adj Close,212.8300018310547,217.5800018310547,225.7400054931641,220.97000122070312,0.0
AAP,Close,212.8300018310547,217.5800018310547,225.7400054931641,220.97000122070312,0.0
AAP,High,213.5800018310547,218.77999877929688,227.5399932861328,228.33999633789065,0.0
AAP,Low,209.00999450683597,210.8800048828125,216.2100067138672,220.47999572753903,0.0
AAP,Open,210.00999450683597,211.6100006103516,217.52999877929688,225.7400054931641,0.0
AAP,Volume,626500.0,729500.0,1088100.0,633600.0,0.0
AAPL,Adj Close,171.8300018310547,172.13999938964844,170.08999633789062,165.75,0.0
AAPL,Close,171.8300018310547,172.13999938964844,170.08999633789062,165.75,0.0
AAPL,High,173.6300048828125,173.36000061035156,171.77999877929688,169.02999877929688,0.0
AAPL,Low,170.1300048828125,169.85000610351562,169.1999969482422,165.5,0.0
AAPL,Open,172.36000061035156,171.16000366210938,171.77999877929688,168.7100067138672,0.0
AAPL,Volume,89058800.0,77594700.0,76515900.0,72088900.0,0.0
ABB.ST,Adj Close,298.70001220703125,299.29998779296875,304.0,298.6000061035156,296.6000061035156
ABB.ST,Close,298.70001220703125,299.29998779296875,304.0,298.6000061035156,296.6000061035156
ABB.ST,High,303.70001220703125,301.3999938964844,306.5,304.1000061035156,297.5
ABB.ST,Low,295.20001220703125,298.3999938964844,300.3999938964844,298.0,294.20001220703125
ABB.ST,Open,303.6000061035156,300.20001220703125,301.20001220703125,302.20001220703125,296.5
ABB.ST,Volume,1170233.0,943723.0,767206.0,687754.0,349530.0
ABBN.SW,Adj Close,29.46999931335449,29.5,30.030000686645508,29.31999969482422,29.11000061035156
ABBN.SW,Close,29.46999931335449,29.5,30.030000686645508,29.31999969482422,29.11000061035156
ABBN.SW,High,30.020000457763672,29.770000457763672,30.299999237060547,30.13999938964844,29.149999618530277
ABBN.SW,Low,29.18000030517578,29.420000076293945,29.75,29.31999969482422,28.850000381469727
ABBN.SW,Open,29.84000015258789,29.65999984741211,29.84000015258789,29.899999618530277,29.040000915527344
ABBN.SW,Volume,5807868.0,4257086.0,5157299.0,5619189.0,2548025.0
ABBV,Adj Close,168.91000366210938,173.27999877929688,174.9600067138672,169.8300018310547,0.0
ABBV,Close,168.91000366210938,173.27999877929688,174.9600067138672,169.8300018310547,0.0
ABBV,High,169.27000427246094,174.58999633789062,175.91000366210938,175.0399932861328,0.0
ABBV,Low,163.8000030517578,167.5399932861328,172.5,169.32000732421875,0.0
ABBV,Open,164.49000549316406,167.6699981689453,173.0,174.89999389648438,0.0
ABBV,Volume,8810800.0,7469000.0,7203500.0,8159800.0,0.0
ABC,Adj Close,158.13999938964844,162.9199981689453,165.44000244140625,162.64999389648438,0.0
ABC,Close,158.13999938964844,162.9199981689453,165.44000244140625,162.64999389648438,0.0
